asset_id,eval_date,open_price,close_price,high_price,low_price
101,2025-03-03,241.79,238.03,244.03,236.11
101,2025-03-04,237.71,235.93,240.07,234.68
101,2025-03-05,235.42,235.74,236.55,229.23
101,2025-03-06,234.44,235.33,237.86,233.16
101,2025-03-07,235.11,239.07,241.37,234.76
101,2025-03-10,235.54,227.48,236.16,224.22
101,2025-03-11,223.81,220.84,225.84,217.45
101,2025-03-12,220.14,216.98,221.75,214.91
101,2025-03-13,215.95,209.68,216.84,208.42
101,2025-03-14,211.25,213.49,213.95,209.58
102,2025-03-03,123.51,114.06,123.7,112.28
102,2025-03-04,110.65,115.99,119.31,110.11
102,2025-03-05,117.58,117.3,118.28,114.51
102,2025-03-06,113.53,110.57,115.35,110.22
102,2025-03-07,111.25,112.69,113.48,107.56
102,2025-03-10,109.9,106.98,111.85,105.46
102,2025-03-11,106.99,108.76,112.24,104.77
102,2025-03-12,114.12,115.74,116.76,112.88
102,2025-03-13,117.03,115.58,117.76,113.79
102,2025-03-14,118.61,121.67,121.88,118.15
103,2025-03-03,673.68,655.05,681.25,650.84
103,2025-03-04,645.51,640.0,649.75,623.65
103,2025-03-05,641.0,656.47,659.5,637.66
103,2025-03-06,648.0,627.93,650.56,624.11
103,2025-03-07,625.37,625.66,634.79,600.61
103,2025-03-10,608.07,597.99,610.11,586.87
103,2025-03-11,595.06,605.71,614.93,593.33
103,2025-03-12,629.9,619.56,633.33,609.35
103,2025-03-13,620.25,590.64,620.5,586.51
103,2025-03-14,602.81,607.6,608.86,594.78
104,2025-03-03,398.82,388.49,398.82,386.16
104,2025-03-04,383.4,388.61,392.58,381.0
104,2025-03-05,389.34,401.02,401.67,388.81
104,2025-03-06,394.28,396.89,402.15,392.68
104,2025-03-07,392.32,393.31,394.8,385.54
104,2025-03-10,385.84,380.16,386.4,377.22
104,2025-03-11,379.0,380.45,386.0,376.91
104,2025-03-12,382.95,383.27,385.22,378.95
104,2025-03-13,383.16,378.77,385.32,377.45
104,2025-03-14,379.78,388.56,390.23,379.51
105,2025-03-03,171.93,167.01,173.37,165.93
105,2025-03-04,166.24,170.92,173.29,165.8
105,2025-03-05,170.52,173.02,173.78,169.06
105,2025-03-06,170.53,172.35,174.81,170.5
105,2025-03-07,171.26,173.86,174.97,170.27
105,2025-03-10,168.26,165.87,168.46,163.69
105,2025-03-11,164.91,164.04,166.75,161.37
105,2025-03-12,166.58,167.11,167.64,163.53
105,2025-03-13,166.04,162.76,166.13,162.11
105,2025-03-14,163.27,165.49,166.49,162.45
101,2025-02-03,207.4,208.8,212.0,205.0
102,2025-02-03,616.4,622.0,627.5,611.5
103,2025-02-03,332.5,335.2,339.0,330.0
104,2025-02-03,353.0,357.8,361.0,350.5
105,2025-02-03,121.0,123.0,126.0,120.0
101,2025-02-04,209.0,210.2,214.0,207.0
102,2025-02-04,619.6,625.6,631.0,614.0
103,2025-02-04,334.0,336.5,341.0,331.5
104,2025-02-04,354.8,359.0,363.0,352.5
105,2025-02-04,121.8,124.2,127.0,120.8
101,2025-02-05,210.5,211.8,215.0,208.0
102,2025-02-05,622.8,629.2,635.0,617.0
103,2025-02-05,335.0,337.8,343.0,333.0
104,2025-02-05,356.6,361.0,365.0,354.0
105,2025-02-05,122.5,125.0,128.0,121.5
101,2025-02-06,212.0,213.0,217.0,210.0
102,2025-02-06,626.0,632.6,638.0,620.0
103,2025-02-06,336.2,339.0,344.0,334.5
104,2025-02-06,358.5,363.0,367.0,356.0
105,2025-02-06,123.0,126.0,129.0,122.0
101,2025-02-07,214.0,215.0,219.0,212.0
102,2025-02-07,629.2,636.0,641.0,623.0
103,2025-02-07,337.5,340.2,346.0,335.5
104,2025-02-07,360.0,364.8,369.0,358.0
105,2025-02-07,123.8,127.0,130.0,122.8
101,2025-02-10,219.0,221.0,224.0,217.0
102,2025-02-10,638.8,646.7,652.0,632.0
103,2025-02-10,342.0,344.5,350.5,340.0
104,2025-02-10,365.0,369.0,374.0,363.0
105,2025-02-10,126.0,130.0,133.0,125.0
101,2025-02-11,221.0,223.0,226.0,219.0
102,2025-02-11,642.0,650.3,655.0,635.0
103,2025-02-11,343.5,346.0,352.0,341.5
104,2025-02-11,367.0,371.5,376.0,365.0
105,2025-02-11,126.6,131.0,134.0,125.6
101,2025-02-12,223.0,225.0,228.0,221.0
102,2025-02-12,645.2,653.9,659.0,638.0
103,2025-02-12,345.0,348.0,354.0,343.0
104,2025-02-12,369.0,373.5,378.0,367.0
105,2025-02-12,127.2,132.0,135.0,126.2
101,2025-02-13,225.0,227.0,230.0,223.0
102,2025-02-13,648.4,657.5,663.0,641.0
103,2025-02-13,346.5,349.5,355.0,344.5
104,2025-02-13,371.0,375.2,380.0,369.0
105,2025-02-13,127.8,133.0,136.0,126.8
101,2025-02-14,227.0,229.5,232.0,225.0
102,2025-02-14,651.6,661.0,666.0,644.0
103,2025-02-14,348.0,351.2,357.0,346.0
104,2025-02-14,373.0,377.0,382.0,371.0
105,2025-02-14,128.5,134.0,137.0,127.5
101,2025-02-17,231.5,233.0,237.0,230.0
102,2025-02-17,661.2,671.6,676.5,653.0
103,2025-02-17,352.0,355.2,361.0,350.0
104,2025-02-17,379.0,383.0,388.0,377.0
105,2025-02-17,130.2,137.0,140.0,129.2
101,2025-02-18,232.0,233.6,237.5,231.0
102,2025-02-18,664.4,675.2,680.0,656.0
103,2025-02-18,353.2,356.0,362.0,351.2
104,2025-02-18,381.0,385.0,390.0,379.0
105,2025-02-18,130.8,137.8,141.0,129.8
101,2025-02-19,232.5,234.2,238.0,232.0
102,2025-02-19,667.6,678.8,684.0,659.0
103,2025-02-19,354.5,357.0,363.0,352.5
104,2025-02-19,383.0,387.0,392.0,381.0
105,2025-02-19,131.4,138.4,142.0,130.4
101,2025-02-20,233.0,234.6,239.0,232.3
102,2025-02-20,670.8,682.4,688.0,662.0
103,2025-02-20,355.8,358.5,364.0,353.8
104,2025-02-20,385.0,389.0,394.0,383.0
105,2025-02-20,132.0,139.0,143.0,131.0
101,2025-02-21,233.3,234.9,239.5,232.5
102,2025-02-21,674.0,685.6,691.0,665.0
103,2025-02-21,357.0,359.5,365.5,355.0
104,2025-02-21,387.0,391.0,396.0,385.0
105,2025-02-21,132.5,139.2,144.0,131.5
101,2025-02-24,234.0,235.0,237.8,230.0
102,2025-02-24,683.6,694.1,700.0,674.0
103,2025-02-24,360.8,363.5,369.0,359.0
104,2025-02-24,392.0,396.5,401.0,390.0
105,2025-02-24,133.5,137.8,141.5,132.5
101,2025-02-25,234.0,234.9,238.5,229.8
102,2025-02-25,686.8,698.1,705.0,677.5
103,2025-02-25,361.8,364.6,370.0,359.8
104,2025-02-25,393.5,398.1,403.0,391.0
105,2025-02-25,134.0,138.0,142.5,132.0
101,2025-02-26,234.0,235.1,238.0,230.0
102,2025-02-26,690.0,710.45,720.0,685.0
103,2025-02-26,362.0,365.7,370.0,358.0
104,2025-02-26,392.0,402.45,405.0,388.0
105,2025-02-26,133.0,138.25,142.0,130.0
101,2025-02-27,236.5,238.5,240.5,232.5
102,2025-02-27,695.5,715.32,725.5,690.5
103,2025-02-27,365.5,370.85,375.5,360.5
104,2025-02-27,395.5,405.98,410.5,390.5
105,2025-02-27,135.5,140.89,145.5,133.5
101,2025-02-28,238.0,241.84,245.0,235.0
102,2025-02-28,700.0,720.56,730.0,695.0
103,2025-02-28,370.0,375.23,380.0,365.0
